Episode,Agent1Reward,Agent2Reward,Agent1AvgR,Agent2AvgR,Agent1Wins,Agent2Wins,Steps,BufSize,Loss1,Loss2
0,-11.1,3.9000000000000004,-9.630,-3.530,239,235,11,11,0.53617,0.35310
1,-4.8999999999999915,0.10000000000000142,-9.630,-3.530,240,235,49,60,0.53617,0.35310
2,2.099999999999999,-12.9,-9.630,-3.530,240,235,29,89,0.53617,0.35310
3,3.5,-11.5,-9.630,-3.530,240,235,15,104,0.53617,0.35310
4,1.7000000000000015,-13.299999999999983,-9.630,-3.530,240,235,133,237,0.53617,0.35310
5,-12.1,2.9,-9.630,-3.530,240,235,21,258,0.53617,0.35310
6,-11.2,3.8000000000000007,-9.630,-3.530,240,235,12,270,0.53617,0.35310
7,3.0,-12.0,-9.630,-3.530,240,235,20,290,0.53617,0.35310
8,3.8000000000000007,-11.2,-9.630,-3.530,240,235,12,302,0.53617,0.35310
9,-10.9,4.1000000000000005,-9.630,-3.530,240,235,9,311,0.53617,0.35310
10,3.8000000000000007,-11.2,-9.630,-3.530,240,235,12,323,0.53617,0.35310
11,-11.7,3.3,-9.630,-3.530,240,235,17,340,0.53617,0.35310
12,3.3,-11.7,-9.630,-3.530,240,235,17,357,0.53617,0.35310
13,-10.9,4.1000000000000005,-9.630,-3.530,240,235,9,366,0.53617,0.35310
14,-10.799999999999999,4.2,-9.630,-3.530,240,235,8,374,0.53617,0.35310
15,-11.1,3.9000000000000004,-9.630,-3.530,240,235,11,385,0.53617,0.35310
16,-10.9,4.1000000000000005,-9.630,-3.530,240,235,9,394,0.53617,0.35310
17,-10.799999999999999,4.2,-9.630,-3.530,240,235,8,402,0.53617,0.35310
18,8.90000000000002,-6.099999999999985,-9.630,-3.530,240,235,61,463,0.53617,0.35310
19,-10.799999999999999,4.2,-9.630,-3.530,240,235,8,471,0.53617,0.35310
20,-11.7,3.3,-9.314,-2.464,240,235,17,488,0.34578,0.18953
21,3.8000000000000007,-11.2,-9.314,-2.464,240,235,12,500,0.34578,0.18953
22,2.099999999999999,-2.8999999999999897,-9.314,-2.464,240,236,29,529,0.34578,0.18953
23,-10.9,4.1000000000000005,-9.314,-2.464,240,236,9,538,0.34578,0.18953
24,1.3999999999999986,-3.599999999999998,-9.314,-2.464,240,237,36,574,0.34578,0.18953
25,-8.399999999999968,-23.39999999999997,-9.314,-2.464,240,237,134,708,0.34578,0.18953
26,-10.9,4.1000000000000005,-9.314,-2.464,240,237,9,717,0.34578,0.18953
27,-13.900000000000002,1.0999999999999983,-9.314,-2.464,240,237,39,756,0.34578,0.18953
28,3.8000000000000007,-11.2,-9.314,-2.464,240,237,12,768,0.34578,0.18953
29,-10.9,4.1000000000000005,-9.314,-2.464,240,237,9,777,0.34578,0.18953
30,-10.7,4.300000000000001,-9.314,-2.464,240,237,7,784,0.34578,0.18953
31,-10.9,4.1000000000000005,-9.314,-2.464,240,237,9,793,0.34578,0.18953
32,-10.9,4.1000000000000005,-9.314,-2.464,240,237,9,802,0.34578,0.18953
33,-12.3,2.6999999999999997,-9.314,-2.464,240,237,23,825,0.34578,0.18953
34,-10.799999999999999,4.2,-9.314,-2.464,240,237,8,833,0.34578,0.18953
35,-5.299999999999979,-20.29999999999998,-9.314,-2.464,240,237,103,936,0.34578,0.18953
36,-10.9,4.1000000000000005,-9.314,-2.464,240,237,9,945,0.34578,0.18953
37,-10.799999999999999,4.2,-9.314,-2.464,240,237,8,953,0.34578,0.18953
