Episode,Score,Steps,AvgScore,Epsilon,QStates
0,1,28,1.00,0.9999,22
1,0,22,0.50,0.9998,40
2,0,19,0.33,0.9997,52
3,0,7,0.25,0.9996,55
4,0,9,0.20,0.9995,62
5,0,8,0.17,0.9994,70
6,0,31,0.14,0.9993,88
7,0,12,0.12,0.9992,96
8,0,23,0.11,0.9991,115
9,0,23,0.10,0.9990,125
10,0,7,0.09,0.9989,129
11,0,7,0.08,0.9988,134
12,0,26,0.08,0.9987,141
13,0,31,0.07,0.9986,155
14,0,9,0.07,0.9985,159
15,0,11,0.06,0.9984,163
16,0,11,0.06,0.9983,167
17,1,8,0.11,0.9982,173
18,0,14,0.11,0.9981,182
19,1,30,0.15,0.9980,194
20,1,13,0.19,0.9979,203
21,0,14,0.18,0.9978,207
22,0,12,0.17,0.9977,213
23,0,14,0.17,0.9976,216
24,0,7,0.16,0.9975,219
25,0,10,0.15,0.9974,222
26,0,8,0.15,0.9973,223
27,0,29,0.14,0.9972,230
28,0,8,0.14,0.9971,232
29,0,21,0.13,0.9970,236
30,0,31,0.13,0.9969,247
31,0,23,0.12,0.9968,256
32,0,23,0.12,0.9967,269
33,0,17,0.12,0.9966,271
34,0,9,0.11,0.9965,276
35,0,47,0.11,0.9964,284
36,0,20,0.11,0.9963,287
37,0,17,0.11,0.9962,296
38,0,7,0.10,0.9961,296
39,0,7,0.10,0.9960,296
40,0,24,0.10,0.9959,310
41,0,35,0.10,0.9958,317
42,0,9,0.09,0.9957,320
43,1,34,0.11,0.9956,327
44,0,16,0.11,0.9955,329
45,0,31,0.11,0.9954,336
46,1,58,0.13,0.9953,363
47,0,9,0.12,0.9952,366
48,0,5,0.12,0.9951,366
49,0,24,0.12,0.9950,369
50,0,15,0.12,0.9949,372
51,0,12,0.12,0.9948,375
52,0,12,0.11,0.9947,382
53,0,23,0.11,0.9946,388
54,0,12,0.11,0.9945,391
55,0,14,0.11,0.9944,392
56,0,27,0.11,0.9943,393
57,0,12,0.10,0.9942,393
58,0,11,0.10,0.9941,401
59,0,24,0.10,0.9940,402
60,0,23,0.10,0.9939,408
61,0,15,0.10,0.9938,411
62,0,22,0.10,0.9937,415
63,0,23,0.09,0.9936,418
64,0,15,0.09,0.9935,420
65,0,49,0.09,0.9934,437
66,0,7,0.09,0.9933,438
67,0,10,0.09,0.9932,438
68,0,26,0.09,0.9931,445
69,0,17,0.09,0.9930,448
70,0,15,0.08,0.9929,451
71,2,26,0.11,0.9928,457
72,0,9,0.11,0.9927,460
73,0,12,0.11,0.9926,464
74,0,9,0.11,0.9925,465
75,0,18,0.11,0.9924,470
76,0,24,0.10,0.9923,476
77,0,60,0.10,0.9922,485
78,0,13,0.10,0.9921,485
79,1,16,0.11,0.9920,491
80,0,7,0.11,0.9919,492
81,0,23,0.11,0.9918,492
82,0,19,0.11,0.9917,492
83,0,14,0.11,0.9916,493
84,0,12,0.11,0.9915,494
85,0,31,0.10,0.9914,495
86,0,16,0.10,0.9913,495
87,0,10,0.10,0.9912,499
88,0,6,0.10,0.9911,501
89,0,8,0.10,0.9910,501
90,0,11,0.10,0.9909,502
91,0,16,0.10,0.9908,505
92,0,24,0.10,0.9907,511
93,0,11,0.10,0.9906,512
94,0,13,0.09,0.9905,515
95,0,47,0.09,0.9904,520
96,0,8,0.09,0.9903,521
97,0,18,0.09,0.9902,523
98,0,9,0.09,0.9901,525
99,0,7,0.09,0.9900,526
100,0,22,0.08,0.9900,532
101,0,8,0.08,0.9899,532
102,0,16,0.08,0.9898,532
103,0,27,0.08,0.9897,536
104,0,7,0.08,0.9896,537
105,0,15,0.08,0.9895,537
106,1,47,0.09,0.9894,547
107,0,16,0.09,0.9893,552
108,0,12,0.09,0.9892,553
109,0,17,0.09,0.9891,554
110,0,22,0.09,0.9890,555
111,0,12,0.09,0.9889,556
112,0,12,0.09,0.9888,556
113,0,19,0.09,0.9887,557
114,0,16,0.09,0.9886,563
