Episode,Score,Steps,AvgScore,Epsilon,QStates
0,0,15,0.00,0.9950,14
1,0,11,0.00,0.9900,23
2,0,33,0.00,0.9851,42
3,0,23,0.00,0.9801,48
4,0,11,0.00,0.9752,59
5,0,13,0.00,0.9704,69
6,1,21,0.14,0.9655,88
7,0,25,0.12,0.9607,110
8,0,9,0.11,0.9559,114
9,0,9,0.10,0.9511,122
10,0,8,0.09,0.9464,125
11,0,40,0.08,0.9416,143
12,0,15,0.08,0.9369,148
13,0,28,0.07,0.9322,158
14,0,8,0.07,0.9276,160
15,0,19,0.06,0.9229,167
16,0,28,0.06,0.9183,181
17,0,38,0.06,0.9137,186
18,0,11,0.05,0.9092,192
19,1,19,0.10,0.9046,195
20,0,50,0.10,0.9001,221
21,0,42,0.09,0.8956,237
22,0,20,0.09,0.8911,249
23,0,5,0.08,0.8867,251
24,1,8,0.12,0.8822,253
25,0,26,0.12,0.8778,267
26,0,33,0.11,0.8734,283
27,0,14,0.11,0.8691,287
28,0,14,0.10,0.8647,293
29,0,8,0.10,0.8604,296
30,0,9,0.10,0.8561,299
31,0,10,0.09,0.8518,301
32,0,58,0.09,0.8475,312
33,0,30,0.09,0.8433,322
34,1,11,0.11,0.8391,325
35,0,23,0.11,0.8349,331
36,0,36,0.11,0.8307,339
37,0,10,0.11,0.8266,340
38,0,28,0.10,0.8224,357
39,0,9,0.10,0.8183,362
40,0,7,0.10,0.8142,363
41,1,20,0.12,0.8102,367
42,0,9,0.12,0.8061,369
43,1,33,0.14,0.8021,384
44,0,16,0.13,0.7981,387
45,0,8,0.13,0.7941,389
46,0,37,0.13,0.7901,400
47,0,6,0.12,0.7862,400
48,0,17,0.12,0.7822,406
49,0,9,0.12,0.7783,406
50,0,10,0.12,0.7744,406
51,0,15,0.12,0.7705,413
52,1,12,0.13,0.7667,416
53,0,23,0.13,0.7629,419
54,0,9,0.13,0.7590,422
55,0,26,0.12,0.7553,436
56,0,20,0.12,0.7515,442
57,0,10,0.12,0.7477,445
58,0,14,0.12,0.7440,451
59,1,26,0.13,0.7403,461
60,0,9,0.13,0.7366,464
61,0,13,0.13,0.7329,467
62,1,7,0.14,0.7292,469
63,0,10,0.14,0.7256,471
64,0,7,0.14,0.7219,472
65,0,30,0.14,0.7183,473
66,0,22,0.13,0.7147,475
67,0,5,0.13,0.7112,475
68,1,23,0.14,0.7076,487
69,0,5,0.14,0.7041,487
70,0,11,0.14,0.7005,488
71,0,19,0.14,0.6970,488
72,0,20,0.14,0.6936,499
73,0,32,0.14,0.6901,508
74,0,10,0.13,0.6866,512
75,0,11,0.13,0.6832,513
76,0,7,0.13,0.6798,513
77,0,13,0.13,0.6764,520
78,0,38,0.13,0.6730,520
79,0,18,0.12,0.6696,524
80,0,15,0.12,0.6663,528
81,0,11,0.12,0.6630,530
82,0,16,0.12,0.6597,532
83,0,7,0.12,0.6564,533
84,0,23,0.12,0.6531,536
85,0,6,0.12,0.6498,538
86,0,15,0.11,0.6466,541
87,0,19,0.11,0.6433,547
88,0,8,0.11,0.6401,550
89,0,15,0.11,0.6369,551
90,0,52,0.11,0.6337,554
91,1,6,0.12,0.6306,556
92,0,15,0.12,0.6274,556
93,1,31,0.13,0.6243,559
94,0,15,0.13,0.6211,559
95,0,10,0.12,0.6180,560
96,0,18,0.12,0.6149,562
97,1,20,0.13,0.6119,566
98,0,20,0.13,0.6088,566
99,0,9,0.13,0.6058,568
100,0,10,0.13,0.6027,570
101,0,12,0.13,0.5997,573
102,0,10,0.13,0.5967,573
103,0,7,0.13,0.5937,575
104,0,12,0.13,0.5908,578
105,0,5,0.13,0.5878,579
106,0,25,0.12,0.5849,584
107,0,8,0.12,0.5820,584
108,0,9,0.12,0.5790,584
109,0,47,0.12,0.5762,592
110,0,9,0.12,0.5733,593
111,0,49,0.12,0.5704,595
112,0,15,0.12,0.5676,597
113,0,14,0.12,0.5647,600
114,0,17,0.12,0.5619,602
115,0,7,0.12,0.5591,605
116,1,15,0.13,0.5563,607
117,0,7,0.13,0.5535,609
118,1,11,0.14,0.5507,611
119,0,20,0.13,0.5480,615
120,0,57,0.13,0.5452,615
121,0,39,0.13,0.5425,618
122,0,24,0.13,0.5398,619
123,0,15,0.13,0.5371,620
124,1,20,0.13,0.5344,623
125,1,41,0.14,0.5318,632
126,0,11,0.14,0.5291,633
127,0,6,0.14,0.5264,635
128,0,14,0.14,0.5238,637
129,0,27,0.14,0.5212,640
130,0,16,0.14,0.5186,641
131,0,6,0.14,0.5160,642
132,0,45,0.14,0.5134,647
133,0,16,0.14,0.5108,649
134,0,5,0.13,0.5083,649
135,0,9,0.13,0.5058,651
136,0,39,0.13,0.5032,656
137,0,8,0.13,0.5007,657
138,0,9,0.13,0.4982,658
139,0,7,0.13,0.4957,658
140,0,16,0.13,0.4932,662
141,0,11,0.12,0.4908,666
142,0,17,0.12,0.4883,669
143,0,14,0.11,0.4859,672
144,0,10,0.11,0.4834,672
145,1,24,0.12,0.4810,677
146,0,6,0.12,0.4786,677
147,0,21,0.12,0.4762,684
148,0,19,0.12,0.4738,685
149,0,26,0.12,0.4715,692
150,0,5,0.12,0.4691,692
151,0,11,0.12,0.4668,694
152,0,21,0.11,0.4644,698
153,0,10,0.11,0.4621,700
154,1,31,0.12,0.4598,705
155,0,25,0.12,0.4575,710
156,0,6,0.12,0.4552,710
157,0,8,0.12,0.4529,710
158,0,17,0.12,0.4507,716
159,0,30,0.11,0.4484,716
160,0,9,0.11,0.4462,716
161,0,6,0.11,0.4440,716
162,0,23,0.10,0.4417,716
163,0,28,0.10,0.4395,722
164,0,16,0.10,0.4373,723
165,0,22,0.10,0.4351,723
166,0,47,0.10,0.4330,723
167,0,18,0.10,0.4308,723
168,0,20,0.09,0.4286,724
169,0,14,0.09,0.4265,725
170,0,25,0.09,0.4244,731
171,0,9,0.09,0.4223,731
172,0,8,0.09,0.4201,731
173,0,13,0.09,0.4180,732
174,0,15,0.09,0.4159,732
175,1,12,0.10,0.4139,733
176,0,6,0.10,0.4118,733
177,0,9,0.10,0.4097,735
178,0,24,0.10,0.4077,737
179,0,8,0.10,0.4057,737
180,0,9,0.10,0.4036,737
181,0,13,0.10,0.4016,738
182,0,8,0.10,0.3996,738
183,0,8,0.10,0.3976,738
184,0,26,0.10,0.3956,742
185,0,23,0.10,0.3936,743
186,0,10,0.10,0.3917,745
187,0,7,0.10,0.3897,745
188,0,9,0.10,0.3878,748
189,1,15,0.11,0.3858,750
190,0,6,0.11,0.3839,750
191,0,15,0.10,0.3820,752
192,0,8,0.10,0.3801,752
193,1,36,0.10,0.3782,757
194,0,23,0.10,0.3763,760
195,1,41,0.11,0.3744,768
196,0,12,0.11,0.3725,768
197,1,19,0.11,0.3707,771
198,0,5,0.11,0.3688,773
199,0,10,0.11,0.3670,774
200,0,12,0.11,0.3651,775
201,0,15,0.11,0.3633,776
202,0,13,0.11,0.3615,778
203,0,35,0.11,0.3597,779
204,1,46,0.12,0.3579,785
205,0,24,0.12,0.3561,786
206,0,13,0.12,0.3543,788
207,1,32,0.13,0.3525,800
208,1,26,0.14,0.3508,801
209,0,18,0.14,0.3490,803
210,0,5,0.14,0.3473,803
211,0,11,0.14,0.3455,805
212,1,32,0.15,0.3438,807
213,0,18,0.15,0.3421,809
214,0,17,0.15,0.3404,810
215,0,22,0.15,0.3387,811
216,0,10,0.14,0.3370,812
217,0,27,0.14,0.3353,816
218,0,17,0.13,0.3336,816
219,0,25,0.13,0.3320,816
220,0,11,0.13,0.3303,817
221,0,27,0.13,0.3286,817
222,0,29,0.13,0.3270,818
223,0,26,0.13,0.3254,822
224,0,27,0.12,0.3237,823
225,0,15,0.11,0.3221,826
226,0,26,0.11,0.3205,830
227,0,22,0.11,0.3189,831
228,1,8,0.12,0.3173,834
229,0,6,0.12,0.3157,834
230,0,11,0.12,0.3141,838
231,0,19,0.12,0.3126,842
232,0,6,0.12,0.3110,843
233,0,9,0.12,0.3095,845
234,0,22,0.12,0.3079,848
235,0,6,0.12,0.3064,848
236,0,21,0.12,0.3048,849
237,0,9,0.12,0.3033,851
238,1,16,0.13,0.3018,852
239,0,6,0.13,0.3003,852
240,0,15,0.13,0.2988,856
241,0,8,0.13,0.2973,856
242,0,11,0.13,0.2958,858
243,0,28,0.13,0.2943,862
244,1,10,0.14,0.2929,865
245,0,34,0.13,0.2914,871
246,0,24,0.13,0.2899,871
247,0,8,0.13,0.2885,871
248,0,15,0.13,0.2870,872
249,0,6,0.13,0.2856,874
250,0,21,0.13,0.2842,874
251,0,9,0.13,0.2828,875
252,0,12,0.13,0.2813,876
253,0,28,0.13,0.2799,877
254,0,13,0.12,0.2785,878
255,0,11,0.12,0.2771,878
256,0,13,0.12,0.2758,879
257,0,10,0.12,0.2744,879
258,0,6,0.12,0.2730,879
259,0,19,0.12,0.2716,880
260,0,23,0.12,0.2703,881
261,0,14,0.12,0.2689,881
262,0,6,0.12,0.2676,882
263,0,11,0.12,0.2663,882
264,0,11,0.12,0.2649,883
265,0,20,0.12,0.2636,885
266,0,7,0.12,0.2623,886
267,0,19,0.12,0.2610,888
268,0,9,0.12,0.2597,889
269,0,19,0.12,0.2584,891
270,0,11,0.12,0.2571,893
271,0,6,0.12,0.2558,894
272,0,23,0.12,0.2545,898
273,0,15,0.12,0.2532,898
274,0,16,0.12,0.2520,899
275,0,10,0.11,0.2507,900
276,0,9,0.11,0.2495,902
277,0,30,0.11,0.2482,903
278,0,19,0.11,0.2470,904
279,1,20,0.12,0.2457,906
280,0,8,0.12,0.2445,906
281,1,18,0.13,0.2433,908
282,0,15,0.13,0.2421,909
283,0,12,0.13,0.2409,910
284,0,6,0.13,0.2397,910
285,0,12,0.13,0.2385,912
286,0,5,0.13,0.2373,912
287,1,12,0.14,0.2361,912
288,0,24,0.14,0.2349,912
289,0,10,0.13,0.2337,913
290,0,7,0.13,0.2326,913
291,0,8,0.13,0.2314,913
292,0,11,0.13,0.2302,913
293,0,12,0.12,0.2291,914
294,0,29,0.12,0.2279,916
295,1,21,0.12,0.2268,922
296,0,17,0.12,0.2257,925
297,0,12,0.11,0.2245,925
298,1,25,0.12,0.2234,928
299,0,16,0.12,0.2223,931
300,0,7,0.12,0.2212,933
301,0,5,0.12,0.2201,933
302,0,27,0.12,0.2190,937
303,0,8,0.12,0.2179,939
304,0,12,0.11,0.2168,939
305,0,8,0.11,0.2157,941
306,0,48,0.11,0.2146,942
307,0,42,0.10,0.2136,943
308,0,42,0.09,0.2125,943
309,0,23,0.09,0.2114,945
310,0,14,0.09,0.2104,947
311,0,11,0.09,0.2093,947
312,1,42,0.09,0.2083,952
313,0,26,0.09,0.2072,954
314,0,16,0.09,0.2062,955
315,0,6,0.09,0.2052,955
316,0,11,0.09,0.2041,955
317,1,18,0.10,0.2031,957
318,0,27,0.10,0.2021,960
319,1,20,0.11,0.2011,961
320,0,15,0.11,0.2001,961
321,0,17,0.11,0.1991,962
322,0,46,0.11,0.1981,964
323,0,26,0.11,0.1971,967
324,0,12,0.11,0.1961,967
325,0,11,0.11,0.1951,968
326,0,28,0.11,0.1942,969
327,0,16,0.11,0.1932,969
328,0,9,0.10,0.1922,969
329,0,9,0.10,0.1913,969
330,0,13,0.10,0.1903,969
331,0,13,0.10,0.1893,970
332,0,9,0.10,0.1884,970
333,0,18,0.10,0.1875,973
334,0,17,0.10,0.1865,976
335,0,33,0.10,0.1856,977
336,0,34,0.10,0.1847,978
337,0,20,0.10,0.1837,980
338,0,28,0.09,0.1828,982
339,0,26,0.09,0.1819,986
340,0,72,0.09,0.1810,991
341,1,60,0.10,0.1801,998
342,0,14,0.10,0.1792,999
343,0,91,0.10,0.1783,999
344,0,11,0.09,0.1774,999
345,0,11,0.09,0.1765,1000
346,0,15,0.09,0.1756,1001
347,0,10,0.09,0.1748,1002
348,0,7,0.09,0.1739,1003
349,0,35,0.09,0.1730,1004
350,0,13,0.09,0.1721,1006
351,0,11,0.09,0.1713,1006
352,0,31,0.09,0.1704,1007
353,1,31,0.10,0.1696,1013
354,0,26,0.10,0.1687,1014
355,0,14,0.10,0.1679,1015
356,0,45,0.10,0.1670,1016
357,0,9,0.10,0.1662,1016
358,0,35,0.10,0.1654,1030
359,0,28,0.10,0.1646,1031
360,0,16,0.10,0.1637,1031
361,0,11,0.10,0.1629,1032
362,0,6,0.10,0.1621,1032
363,1,30,0.11,0.1613,1034
364,0,23,0.11,0.1605,1036
365,0,9,0.11,0.1597,1037
